cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Houston,Washington,26420,47900,0.03107373883350049,41742.0,1916291.3622224005,0.09049594578086609,737078.0,0.04742661202024412,5.43030303030303,5208.271882304149,0.9555749517495258,0.7845257903494176,0.2969675571844806
Minneapolis,New York,33460,35620,0.06380647638280859,1063.0,1653118.0096420797,0.11988526403607781,16450209.0,0.061494934794043665,34.31035519579684,30429.811172598493,0.9214016051602454,0.751718667371761,0.053776072099127714
Dallas,Philadelphia,19100,37980,0.03247772918858083,2157.0,2080896.0915499188,0.1253238041341364,1392336.0,0.03332758581898909,16.2399897962774,6433.102595171322,0.9496949097835341,0.8011695906432749,0.13508453134639142
Miami,Phoenix,33100,38060,0.05075258085835373,10850.0,3161649.5913211075,0.051275481099132936,1292501.0,0.003768129840968748,0.4093888311122953,5002.17992479279,0.9586168114772914,0.7990523968784838,0.08119745248970422
Boston,Chicago,14460,16980,0.02356780878466241,22030.0,1385414.8042755548,0.05304742347803451,4676870.0,0.02113257116051226,6.285913830087971,10702.001635208248,0.9683389374406157,0.7951164748807185,0.004929912634047184
San Francisco,Seattle,41860,42660,0.03932680785648127,22109.0,1079999.1571741218,0.0844773737809785,730246.0,0.01507657791418826,50.96978021978022,2526.4704629185753,0.967545462886797,0.7969513948806443,0.1202376778538865
Dallas,San Francisco,19100,41860,0.028263844396284765,45917.0,2349400.5513096224,0.18946545204254553,2888379.0,0.020362148311792838,12.156582077716095,9015.138767650778,0.9133037069000356,0.78,0.2950922946755591
Denver,Miami,19740,33100,0.09152072806228012,27835.0,2712250.5948381256,0.05386434459667534,3174512.0,0.08221219095172205,57.80383815245085,7204.663212114776,0.9542341507383764,0.7752112676056339,0.030901638261319198
Austin,Los Angeles,12420,31080,0.036110780391311575,3834.0,1981421.0372500822,0.09124038429635346,10917627.0,0.06214535692745027,,19736.328736621712,0.9537737147546609,0.741637204242589,0.05554685244104407
Dallas,Tampa,19100,45300,0.018831654669293058,16201.0,1487482.032140198,0.08589967850561052,4462112.0,0.08483354199618187,8.9926386362105,9481.598177522606,0.969689760692434,0.7996575342465754,0.017650776721757577
New York,Portland,35620,38900,0.05171718422772365,3159.0,3934631.578619207,0.06741575962116793,17627611.0,0.018566714481805913,32.76395452072057,31636.379565304243,0.9231231447192297,0.7507869884575026,0.0020354709376717572
Atlanta,Las Vegas,12060,29820,0.04850955373089627,12714.0,2788358.748700302,0.04512357146490948,3824354.0,0.03517014420058151,,8921.60355541536,0.9658540722597514,0.7506639126586013,NaN
Chicago,Seattle,16980,42660,0.01914892665356787,22119.0,2752227.1360923806,0.06943587823409016,5599740.0,0.01772546165935207,67.10191146881289,12279.852442110207,0.9582989285430503,0.8072423398328691,0.01612840692582418
Denver,Houston,19740,26420,0.05787617329132078,18859.0,1379482.4475256277,0.06457665634495519,4158419.0,0.05271426042592142,5.115591670898937,8544.929900239089,0.9594020188847803,0.7828910220214568,0.11501247294151556
Houston,Las Vegas,26420,29820,0.00507799965696328,8150.0,1966183.2610587352,0.054611159413933574,4856779.0,0.02619687919911695,,10350.781323165898,0.9650590115110887,0.7328571428571429,NaN
Houston,Phoenix,26420,38060,0.02820330439477361,1874.0,1634720.3952011452,0.06097091715169378,2276408.0,0.025729800684831883,53.09763531266421,5847.779664111841,0.9755586029306452,0.8001669913721124,0.002913382190492142
Las Vegas,Orlando,29820,36740,0.003019111194005528,1640.0,3267100.9614044917,0.04079125517978951,407915.0,0.010282848073766782,,1927.5253565128528,0.9741687885734693,0.7564541213063763,NaN
San Francisco,Washington,41860,47900,0.032914798984526206,9512.0,3858577.292351183,0.10659678930067655,1636154.0,0.040448756570542144,31.289743589743587,3556.9080674091088,0.9653282781809862,0.7840550616575853,0.001708038092524955
Dallas,Riverside,19100,40140,0.041828749491231096,2357.0,1781282.6317002333,0.07390716483277365,3037548.0,0.07787771431264001,58.287473408607426,9420.491653836332,0.9700233885320158,0.7847559234941479,0.0362941286344467
Boston,Philadelphia,14460,37980,0.011232712700432206,21562.0,461501.23734742013,0.042475283884401485,1303419.0,0.0314491249225447,13.929625137505994,3433.601316402357,0.9738218772753237,0.793939393939394,0.028571591183504164
Detroit,Los Angeles,19820,31080,0.1657361477982828,16649.0,3162543.653759212,0.12678753003519413,8808957.0,0.023616429922908022,,16467.564057868425,0.9438397823340239,0.767410594245765,0.1351480746057624
Tampa,Washington,45300,47900,0.02623693797207611,52606.0,1275909.4168521876,0.0825342846317872,3209887.0,0.10492015025493118,10.140522875816991,4736.003378377173,0.9623677857390448,0.7782621331008428,0.3144511094898416
Chicago,San Diego,16980,41740,0.01731131374688392,11887.0,2713207.0064677713,0.07169601657493054,6319868.0,0.006376706621912587,,13538.639924305544,0.971549686015169,0.7870137139658551,0.049908184981583115
Atlanta,Phoenix,12060,38060,0.06566117819550768,2690.0,2561719.0486911237,0.04269798058158477,1243983.0,0.03470306568629644,70.4717866977598,4525.855388763543,0.976190704525538,0.8149527356058436,0.056882015749885606
Denver,Phoenix,19740,38060,0.007293116002261415,16985.0,943732.9558357703,0.03536415814454017,1882011.0,0.0784440611107533,58.213226983563146,3349.423831049155,0.9769871653918322,0.804482453553524,0.11209909075102342
Denver,Las Vegas,19740,29820,0.03261419532969185,27009.0,954554.1254574307,0.045610177556009365,698360.0,0.07891113962503837,,2581.562511348505,0.9655036071435189,0.7549892539146453,NaN
Los Angeles,San Antonio,31080,41700,0.016103585566140752,18195.0,1925382.5332503486,0.11180657542735518,10642855.0,0.0008273542351339147,,19576.81452637277,0.9473838057831548,0.7317205762435445,0.16098129346573564
Dallas,Seattle,19100,42660,0.0378004448535989,23808.0,2646580.290767349,0.11677937294468442,3618625.0,0.005285570397604578,63.126362297496314,9451.348686827716,0.939941836178999,0.7907949790794979,0.17485461682167258
Las Vegas,Seattle,29820,42660,0.04533537116448053,37295.0,1372688.1428618894,0.09820034200953127,1753301.0,0.04825131256300719,,3859.769682247893,0.9467744096472552,0.7553892215568863,NaN
Chicago,Riverside,16980,40140,0.07287091630059973,4046.0,2581365.1580296173,0.03606908252666589,5018663.0,0.05486668225568336,62.26302257992399,12666.833819072546,0.9604099883490036,0.7817874259937976,0.1224320812614017
Las Vegas,Washington,29820,47900,0.02113235626877687,49892.0,3288945.0678377394,0.07866117259764532,4119701.0,0.07362349121936107,,6968.263341751659,0.9672486124777336,0.742089552238806,NaN
Atlanta,Denver,12060,19740,0.063756009144756,14295.0,1928685.0244214744,0.04566766661331552,3125994.0,0.04374099542445686,12.258559714196657,7104.308340718328,0.9632184478030297,0.7984293193717278,0.055217075001137816
Dallas,San Diego,19100,41740,0.008584081337001916,13576.0,1848894.5226085933,0.11903573753348154,4338753.0,0.029387738678869235,,10568.438342536707,0.9547304612559149,0.7749367799943805,0.10881802491426529
Boston,Orlando,14460,36740,0.05328836490756171,35566.0,1818306.3889674603,0.09880604144662136,2268256.0,0.041375573990400594,1.7626751069691124,4389.0307586071895,0.9391726564661259,0.7724836212030971,0.12100766575535082
Detroit,Miami,19820,33100,0.14918497336760125,3371.0,1860330.9273403613,0.0641185706066848,1746292.0,0.008379214904551624,30.0079173279469,5617.068719536908,0.9561867616576524,0.7866251062623972,0.047717131918816214
Phoenix,San Francisco,38060,41860,0.04511142773091481,49380.0,1053296.6130514643,0.17099835972050237,96824.0,0.03270765613453386,27.238194753223652,3817.6841147481023,0.9222105677849062,0.777209434498437,0.2923461369014635
Charlotte,Miami,16740,33100,0.10730780691388662,7092.0,1005398.4917339239,0.08024375235484425,3478004.0,0.03824558681259016,68.69749688027599,8344.246460885488,0.9518558952067986,0.7451715191697895,0.09936678176527158
